timestamp,signal,arkb_price,btc_price,nav_estimate,spread_bps,pnl_usd
2026-04-17T23:02:45.838Z,CREATE,25.8474,84992.08,25.7526,13.40,173.16
2026-04-17T23:03:11.858Z,REDEEM,25.6403,84909.61,25.7276,10.39,133.19
2026-04-17T23:03:19.860Z,CREATE,25.8166,84918.16,25.7302,10.17,131.22
2026-04-17T23:03:21.861Z,CREATE,25.8668,85060.33,25.7733,12.88,166.61
2026-04-17T23:03:24.862Z,REDEEM,25.6925,85098.39,25.7848,12.28,157.73
2026-04-17T23:03:25.862Z,REDEEM,25.7010,85152.49,25.8012,15.32,196.91
2026-04-17T23:03:28.862Z,CREATE,25.8587,85014.82,25.7595,15.09,195.16
2026-04-17T23:03:29.862Z,REDEEM,25.6342,84933.39,25.7348,15.54,199.22
2026-04-17T23:03:33.864Z,REDEEM,25.6945,85119.16,25.7911,13.94,179.08
2026-04-17T23:03:43.867Z,REDEEM,25.7119,85194.60,25.8140,16.05,206.29
2026-04-17T23:03:57.871Z,REDEEM,25.6657,85002.97,25.7559,11.48,147.36
2026-04-17T23:04:04.874Z,CREATE,25.9104,85176.04,25.8083,16.16,209.37
2026-04-17T23:04:20.894Z,REDEEM,25.7314,85211.95,25.8192,10.53,135.45
2026-04-17T23:04:41.901Z,REDEEM,25.6707,85031.24,25.7645,12.87,165.17
2026-04-17T23:04:49.904Z,REDEEM,25.6458,84927.88,25.7331,10.40,133.35
2026-04-17T23:04:51.907Z,CREATE,25.8255,84913.62,25.7288,14.14,182.57
2026-04-17T23:04:52.907Z,REDEEM,25.6060,84840.67,25.7067,15.61,199.83
2026-04-18T00:00:24.050Z,REDEEM,25.6773,85056.63,25.7722,13.30,170.74
2026-04-18T00:00:31.054Z,CREATE,25.8348,84962.07,25.7435,12.04,155.53
2026-04-18T00:00:37.062Z,CREATE,25.8666,85038.66,25.7667,15.37,198.74
2026-04-18T00:00:49.072Z,CREATE,25.8069,84873.18,25.7166,11.69,150.80
2026-04-18T00:00:55.075Z,CREATE,25.8188,84915.07,25.7293,11.37,146.80
2026-04-18T00:00:57.076Z,CREATE,25.8231,84923.93,25.7320,11.98,154.67
2026-04-18T00:01:28.102Z,REDEEM,25.5629,84692.89,25.6619,15.00,191.70
2026-04-18T00:01:39.105Z,REDEEM,25.5782,84735.68,25.6749,14.07,179.94
2026-04-18T00:01:42.107Z,CREATE,25.7757,84752.83,25.6801,13.77,177.41
2026-04-21T08:47:52.378Z,REDEEM,25.3200,76900.00,25.4133,12.93,163.72
2026-04-21T08:47:55.380Z,REDEEM,25.3200,76892.00,25.4106,11.90,150.60
2026-04-21T08:47:56.381Z,REDEEM,25.3200,76904.20,25.4147,13.48,170.61
2026-04-21T08:47:57.382Z,REDEEM,25.3200,76916.00,25.4186,15.00,189.96
2026-04-23T10:05:12.699Z,CREATE,26.1700,77311.99,26.0601,18.98,248.41
2026-04-23T10:05:13.701Z,CREATE,26.1700,77312.04,26.0601,18.98,248.33
2026-04-23T10:05:14.702Z,CREATE,26.1700,77335.98,26.0682,15.87,207.65
2026-04-29T18:09:51.535Z,CREATE,25.1850,75051.10,25.0933,12.70,159.87
2026-05-07T04:17:56.410Z,CREATE,25.8622,85036.43,25.7660,13.92,179.96
2026-05-07T04:18:00.413Z,REDEEM,25.6587,84988.70,25.7516,12.54,160.86
2026-05-07T04:18:03.414Z,REDEEM,25.6203,84891.19,25.7220,16.01,205.03
2026-05-07T04:18:24.422Z,CREATE,25.8160,84887.85,25.7210,13.49,174.15
